Wavelength,Flux
9619.1023, 7.9601e+01
9620.0835, 7.9438e+01
9621.0648, 7.9547e+01
9622.0462, 7.8868e+01
9623.0277, 7.5744e+01
9624.0093, 7.6124e+01
9624.9910, 7.8759e+01
9625.9728, 7.9058e+01
9626.9547, 7.8759e+01
9627.9367, 7.7374e+01
9628.9188, 7.4956e+01
9629.9010, 7.6640e+01
9630.8833, 7.9303e+01
9631.8657, 7.9846e+01
9632.8482, 7.9900e+01
9633.8308, 7.9792e+01
9634.8135, 7.9384e+01
9635.7963, 7.7700e+01
9636.7792, 7.5689e+01
9637.7622, 7.7455e+01
9638.7453, 7.8814e+01
9639.7285, 7.7564e+01
9640.7118, 7.5092e+01
9641.6952, 7.6694e+01
9642.6787, 7.8814e+01
9643.6623, 7.9275e+01
9644.6460, 7.9384e+01
9645.6298, 7.9303e+01
9646.6137, 7.9384e+01
9647.5977, 7.8977e+01
9648.5818, 7.8189e+01
9649.5660, 7.7428e+01
9650.5503, 7.7645e+01
9651.5347, 7.8352e+01
9652.5192, 7.8460e+01
9653.5038, 7.9031e+01
9654.4885, 7.8406e+01
9655.4734, 7.5907e+01
9656.4583, 7.6504e+01
9657.4433, 7.8650e+01
9658.4284, 7.8406e+01
9659.4136, 7.6233e+01
9660.3989, 7.3135e+01
9661.3843, 7.2782e+01
9662.3698, 7.6640e+01
9663.3554, 7.8678e+01
9664.3411, 7.8569e+01
9665.3270, 7.8678e+01
9666.3129, 7.8732e+01
9667.2989, 7.8460e+01
9668.2850, 7.8650e+01
9669.2712, 7.8841e+01
9670.2575, 7.8949e+01
9671.2439, 7.9058e+01
9672.2305, 7.8134e+01
9673.2171, 7.7102e+01
9674.2038, 7.7835e+01
9675.1906, 7.8243e+01
9676.1775, 7.8161e+01
9677.1645, 7.6722e+01
9678.1517, 7.4168e+01
9679.1389, 7.5798e+01
9680.1262, 7.8297e+01
9681.1136, 7.8841e+01
9682.1012, 7.8650e+01
9683.0888, 7.8243e+01
9684.0765, 7.8216e+01
9685.0643, 7.8596e+01
9686.0522, 7.8678e+01
9687.0403, 7.8515e+01
9688.0284, 7.8460e+01
9689.0166, 7.8406e+01
9690.0050, 7.8107e+01
9690.9934, 7.6396e+01
9691.9819, 7.5472e+01
9692.9706, 7.7183e+01
9693.9593, 7.8189e+01
9694.9481, 7.8460e+01
9695.9371, 7.8026e+01
9696.9261, 7.7971e+01
9697.9152, 7.8433e+01
9698.9045, 7.8542e+01
9699.8938, 7.8515e+01
9700.8832, 7.8569e+01
9701.8728, 7.8515e+01
9702.8624, 7.8379e+01
9703.8522, 7.7645e+01
9704.8420, 7.6966e+01
9705.8319, 7.7618e+01
9706.8220, 7.7645e+01
9707.8121, 7.5499e+01
9708.8024, 7.5173e+01
9709.7927, 7.7455e+01
9710.7832, 7.8026e+01
9711.7737, 7.7754e+01
9712.7644, 7.7971e+01
9713.7551, 7.8080e+01
9714.7460, 7.8216e+01
9715.7369, 7.8515e+01
9716.7280, 7.8026e+01
9717.7191, 7.7591e+01
9718.7104, 7.7672e+01
9719.7018, 7.7835e+01
9720.6932, 7.7863e+01
9721.6848, 7.7591e+01
9722.6764, 7.8080e+01
9723.6682, 7.8161e+01
9724.6601, 7.7781e+01
9725.6520, 7.7672e+01
9726.6441, 7.8107e+01
9727.6363, 7.8406e+01
9728.6285, 7.8080e+01
9729.6209, 7.6966e+01
9730.6134, 7.5146e+01
9731.6059, 7.5852e+01
9732.5986, 7.7292e+01
9733.5914, 7.7672e+01
9734.5843, 7.7971e+01
9735.5772, 7.7917e+01
9736.5703, 7.6993e+01
9737.5635, 7.6368e+01
9738.5568, 7.7075e+01
9739.5502, 7.6477e+01
9740.5437, 7.3000e+01
9741.5372, 7.1940e+01
9742.5309, 7.5662e+01
9743.5247, 7.7672e+01
9744.5186, 7.7781e+01
9745.5126, 7.6287e+01
9746.5067, 7.5336e+01
9747.5009, 7.6885e+01
9748.4952, 7.6722e+01
9749.4896, 7.4874e+01
9750.4841, 7.5200e+01
9751.4787, 7.7048e+01
9752.4734, 7.7700e+01
9753.4682, 7.7863e+01
9754.4631, 7.7944e+01
9755.4581, 7.7835e+01
9756.4532, 7.7645e+01
9757.4484, 7.7564e+01
9758.4437, 7.7509e+01
9759.4391, 7.7265e+01
9760.4346, 7.7020e+01
9761.4302, 7.7183e+01
9762.4260, 7.7238e+01
9763.4218, 7.7428e+01
9764.4177, 7.7075e+01
9765.4137, 7.4222e+01
9766.4098, 7.2049e+01
9767.4061, 7.4657e+01
9768.4024, 7.6640e+01
9769.3988, 7.7211e+01
9770.3953, 7.6423e+01
9771.3920, 7.5825e+01
9772.3887, 7.5771e+01
9773.3855, 7.5798e+01
9774.3825, 7.6613e+01
9775.3795, 7.7183e+01
9776.3766, 7.7509e+01
9777.3739, 7.7618e+01
9778.3712, 7.7645e+01
9779.3687, 7.7564e+01
9780.3662, 7.7374e+01
9781.3639, 7.7265e+01
9782.3616, 7.6939e+01
9783.3595, 7.6613e+01
9784.3574, 7.6531e+01
9785.3555, 7.5119e+01
9786.3536, 7.3570e+01
9787.3519, 7.5010e+01
9788.3502, 7.5716e+01
9789.3487, 7.4032e+01
9790.3473, 7.2674e+01
9791.3459, 7.3950e+01
9792.3447, 7.6097e+01
9793.3436, 7.6912e+01
9794.3425, 7.6885e+01
9795.3416, 7.6830e+01
9796.3408, 7.7048e+01
9797.3401, 7.6966e+01
9798.3394, 7.6749e+01
9799.3389, 7.6233e+01
9800.3385, 7.6124e+01
9801.3382, 7.6151e+01
9802.3380, 7.4222e+01
9803.3379, 7.3461e+01
9804.3379, 7.5662e+01
9805.3379, 7.6450e+01
9806.3381, 7.6694e+01
9807.3384, 7.6912e+01
9808.3388, 7.6830e+01
9809.3393, 7.6694e+01
9810.3399, 7.6667e+01
9811.3406, 7.6667e+01
9812.3415, 7.6559e+01
9813.3424, 7.6151e+01
9814.3434, 7.6042e+01
9815.3445, 7.6531e+01
9816.3457, 7.6722e+01
9817.3470, 7.6667e+01
9818.3484, 7.6504e+01
9819.3500, 7.6531e+01
9820.3516, 7.6559e+01
9821.3533, 7.6667e+01
9822.3551, 7.6640e+01
9823.3571, 7.5798e+01
9824.3591, 7.5037e+01
9825.3612, 7.5961e+01
9826.3635, 7.6450e+01
9827.3658, 7.6151e+01
9828.3683, 7.5879e+01
9829.3708, 7.5689e+01
9830.3734, 7.5716e+01
9831.3762, 7.6015e+01
9832.3790, 7.6205e+01
9833.3820, 7.6260e+01
9834.3850, 7.5988e+01
9835.3882, 7.5200e+01
9836.3915, 7.3869e+01
9837.3948, 7.3896e+01
9838.3983, 7.5418e+01
9839.4019, 7.6423e+01
9840.4055, 7.6504e+01
9841.4093, 7.5907e+01
9842.4132, 7.5771e+01
9843.4172, 7.5988e+01
9844.4212, 7.4793e+01
9845.4254, 7.3950e+01
9846.4297, 7.5363e+01
9847.4341, 7.6260e+01
9848.4386, 7.6314e+01
9849.4432, 7.6070e+01
9850.4479, 7.5879e+01
